http.request.method|http.request.full_uri|http.user_agent|http.accept|http.authorization|http.file_data
GET|http://localhost:9317/contributors?organizations=IBM|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/contributors?organizations=IBM,Sun&sortBy=-name|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/contributors?organizations=IBM,Sun&sortBy=name|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/contributors?organizations=IBM,Sun&sortBy=-personalProjectsCount|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/contributors?organizations=IBM,Sun&sortBy=personalProjectsCount|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/contributors?organizations=IBM,Sun&sortBy=-organizationalProjectsCount|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/contributors?organizations=IBM,Sun&sortBy=-organizationalCommitsCount|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/contributors?organizations=%20IBM,Sun&start_date=2024-05-29T16:04:11Z&end_date=2024-06-02T04:04:11Z|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/|okhttp/2.4.0|text/plain, text/plain, application/json, application/json, application/*+json, application/*+json, */*, */*||
GET|http://localhost:9317/projects?organizations=zalando|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/statistics?organizations=organization1,organization2|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/statistics?organizations=organization1&start_date=2024-05-29T04:05:12Z&end_date=2024-05-31T04:04:12Z|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/config|okhttp/2.4.0|application/json, application/json, application/*+json, application/*+json||
GET|http://localhost:9317/|okhttp/2.4.0|text/plain, text/plain, application/json, application/json, application/*+json, application/*+json, */*, */*||